Distance_m,Profile_mm
0.619,-9.36396950519712
0.62,-9.74948646694602
0.621,-9.88216773435534
0.622,-9.88795263509104
0.623,-9.96158101303902
0.624,-10.0566523713242
0.625,-9.90492217880794
0.626,-9.60713677101273
0.627,-9.59804788436306
0.628,-9.73453765505003
0.629,-9.68953418500082
0.63,-9.31710149753592
0.631,-8.89560254932749
0.632,-8.69134371219905
0.633,-8.52492138948924
0.634,-8.57563120304899
0.635,-8.8950176286634
0.636,-9.53218781049422
0.637,-10.3170281040076
0.638,-10.5840344389494
0.639,-10.4732730394528
0.64,-10.3995912041602
0.641,-10.4673959207586
0.642,-10.5221668136927
0.643,-10.2659644075695
0.644,-9.83034032844066
0.645,-9.45603247452846
0.646,-9.18268544499943
0.647,-9.06038140364874
0.648,-9.14217347394118
0.649,-9.34025613321399
0.65,-9.66160032192845
0.651,-9.98796333977282
0.652,-10.1116669627129
0.653,-10.1806816532276
0.654,-10.2059409042888
0.655,-10.2582536795633
0.656,-10.3054002089361
0.657,-9.98943237939656
0.658,-9.42130227774575
0.659,-8.72962908336956
0.66,-8.22223368456521
0.661,-8.16738995951561
0.662,-8.22619814575958
0.663,-8.26332075842553
0.664,-8.24224911167498
0.665,-8.36600921094917
0.666,-8.63790582614889
0.667,-8.70216001233097
0.668,-8.65174484403016
0.669,-8.70907009433525
0.67,-9.06571628564612
0.671,-9.3440746328994
0.672,-9.11359362544572
0.673,-8.81172636675179
0.674,-8.73576413225718
0.675,-8.85234335221875
0.676,-9.03699481247531
0.677,-9.00736154452163
0.678,-8.81535290870495
0.679,-8.6469889830822
0.68,-8.54857037274464
0.681,-8.53970991342187
0.682,-8.67565140904393
0.683,-9.05758930111081
0.684,-9.42842068376045
0.685,-9.45928493835683
0.686,-9.30519679652081
0.687,-9.13184213179687
0.688,-8.94638395659208
0.689,-8.93771524822249
0.69,-9.04104442129924
0.691,-9.03816659449726
0.692,-9.09449627818729
0.693,-9.35700857453321
0.694,-9.85651498573494
0.695,-10.2993419149993
0.696,-10.3529033089671
0.697,-10.3356309673612
0.698,-10.4264667453642
0.699,-10.3529197981036
0.7,-10.0141567339852
0.701,-9.55496161662411
0.702,-9.14963674556669
0.703,-8.91076307127405
0.704,-8.92632246281838
0.705,-9.1266180955481
0.706,-9.21656259658222
0.707,-9.19190747108724
0.708,-9.25108227447524
0.709,-9.38633621535196
0.71,-9.57616392939654
0.711,-9.61252361624099
0.712,-9.52100318686178
0.713,-9.4694756393347
0.714,-9.30604645970826
0.715,-9.15050462698093
0.716,-9.2240012785043
0.717,-9.61635058759651
0.718,-9.99476815925354
0.719,-9.95417566777071
0.72,-9.69188831687872
0.721,-9.51661960422359
0.722,-9.68475640360926
0.723,-9.97154243821943
0.724,-10.0056263077436
0.725,-9.86428844271624
0.726,-9.55704336761368
0.727,-9.18125271666822
0.728,-8.90167788088333
0.729,-8.64133916702912
0.73,-8.36392318672192
0.731,-8.23167387067313
0.732,-8.31109894594335
0.733,-8.45883310803987
0.734,-8.53165625171989
0.735,-8.58873325252593
0.736,-8.80019560124511
0.737,-9.13597550132696
0.738,-9.39590668063682
0.739,-9.37767111554195
0.74,-9.12056554945946
0.741,-8.94460723109168
0.742,-9.07240639962515
0.743,-9.32477246426873
0.744,-9.45758547956706
0.745,-9.53358610725564
0.746,-9.6996771853761
0.747,-10.0723672626595
0.748,-10.3739032019306
0.749,-10.314026005823
0.75,-10.1628415311659
0.751,-10.1017001309901
0.752,-10.2230046553631
0.753,-10.4148114417661
0.754,-10.5054780213521
0.755,-10.5607518896615
0.756,-10.3990441473191
0.757,-10.1571719267486
0.758,-10.0000665565192
0.759,-9.85632431938841
0.76,-9.8212298124003
0.761,-9.86369120757299
0.762,-9.92178448271705
0.763,-9.72952757525412
0.764,-9.51015472077872
0.765,-9.66710157312046
0.766,-9.96400497689452
0.767,-10.2513734127237
0.768,-10.3070139822895
0.769,-10.2296623237575
0.77,-10.1727169971828
0.771,-9.97906879405708
0.772,-9.88418568351634
0.773,-9.87882727555969
0.774,-9.95745011276204
0.775,-10.095786823089
0.776,-10.0223939584958
0.777,-10.0276401906589
0.778,-9.89160517976781
0.779,-9.50513138525562
0.78,-9.46835845268466
0.781,-9.46055048204136
0.782,-9.31457389712792
0.783,-9.05855756481704
0.784,-8.73283749675633
0.785,-8.8123050391743
0.786,-9.07245326934397
0.787,-9.37697353677873
0.788,-9.62426104631648
0.789,-9.7011937719669
0.79,-9.81498455115127
0.791,-9.82570464195583
0.792,-9.8284563164053
0.793,-9.86319475006269
0.794,-9.88925332546163
0.795,-9.88364400906302
0.796,-9.68752198469495
0.797,-9.39206385174626
0.798,-9.08352009735714
0.799,-8.969125054231
0.8,-8.94128446539715
0.801,-8.78983385519308
0.802,-8.80320559020397
0.803,-9.22121942641342
0.804,-9.8767613303781
0.805,-10.3132802711433
0.806,-10.5282686666904
0.807,-10.6463594855069
0.808,-10.5761054756289
0.809,-10.3393677901756
0.81,-9.91229138070392
0.811,-9.39032657114851
0.812,-9.09436420280787
